date,year,month,sales
1/1/2020,2020,1,57638.68
2/1/2020,2020,2,205397.38
3/1/2020,2020,3,297173.44
4/1/2020,2020,4,318054.45
5/1/2020,2020,5,354175.98
6/1/2020,2020,6,366919.76
7/1/2020,2020,7,476535.84
8/1/2020,2020,8,431354.87
9/1/2020,2020,9,464760.59
10/1/2020,2020,10,511333.94
11/1/2020,2020,11,422571.07
12/1/2020,2020,12,523793.02
1/1/2021,2021,1,500463.66
2/1/2021,2021,2,502159.21
3/1/2021,2021,3,748021.62
4/1/2021,2021,4,695752.63
5/1/2021,2021,5,763573.23
6/1/2021,2021,6,650563.38
7/1/2021,2021,7,674587.24
8/1/2021,2021,8,632822.61
9/1/2021,2021,9,820481.08
10/1/2021,2021,10,902496.45
11/1/2021,2021,11,956354.09
12/1/2021,2021,12,796386.32
