year,date,sum_net_sales
2020,2020-02-01,22450.965
2020,2020-01-01,18891.585
2020,2020-11-01,18348.55
2020,2020-07-01,17670.82
2020,2020-08-01,15747.37
2020,2020-09-01,15038.57
2020,2020-04-01,14283.4800000001
2020,2020-05-01,13572.51
2020,2020-10-01,12735.14
2020,2020-06-01,12575.205
2020,2020-03-01,12452.15
2020,2020-12-01,12119.125
2021,2021-11-01,25838.625
2021,2021-12-01,24206.1799999999
2021,2021-08-01,20068.71
2021,2021-10-01,18457.655
2021,2021-07-01,17480.215
2021,2021-05-01,17019.145
2021,2021-06-01,16755.755
2021,2021-04-01,14896.51
2021,2021-01-01,13943.175
2021,2021-09-01,13867.085
2021,2021-03-01,13421.655
2021,2021-02-01,9932.07499999998
