product_sku,product_title,year,units_sold,sum
1133,Vitamin D3 1000mg,2021,10845,496043.865
1124,Elderberry Gels 30 qty,2021,8436,442089.505
5555,Fruits and Greens 60 capsules,2021,10477.5,374940.93
1113,Bronchial Wellness Herbal Blend 60 capsules,2021,8320.5,290340.805
3333,Fruits and Greens 30 capsules,2021,15589.5,223552.505
1139,Vitamin D3 Plus K2 60 capsules,2021,4657.5,209712.415
8888,Bronchial Wellness Herbal Blend 30 capsules,2021,13037.5,178804.13
1119,Turmeric Joint 180 capsules,2021,5028,167364.07
1146,Vitamin D3 Pro 1000mg,2021,3568,160970.95
1114,Prenatal DHA 180 capsules,2021,5102.5,160581.34
1140,Vitamin D3 5000mg,2021,1549.5,159876.655
6666,Thyroid Complex,2021,11092,158054.66
1150,Vitamin D3 Plus K2 180 capsules,2021,1200.5,121850.79
1123,Glucosamine Chondroitin 180 capsules,2021,3101.5,107490.345
1120,Glucosamine Chondroitin 60 capsules,2021,4925,105767.705
1010,Prenatal DHA 60 capsules,2021,9071,101590.99
1115,Hair/Skin/Nails Ultra 60 capsules,2021,10119,99539.76
9999,Turmeric Joint 30 capsules,2021,7991,96406.625
1160,Vitamin D3 Pro 5000mg,2021,739,73628.615
1126,Vitamin B12 180 capsules,2021,2392.5,67250.67
1117,Allereze Nasal Spray 2oz,2021,4815,65713.945
1154,New you bundle,2021,621,54820.635
1122,Vitamin B12 60 capsules,2021,5336,54073.05
1127,Allereze Nasal Spray 4oz,2021,2400,51878.965
1168,Elderberry Gels 180 qty,2021,759,46365.59
1118,Co Q10 30 capsules,2021,3331.5,42675.99
1151,Prenatal Pro 60 capsules,2021,1297,42416.98
1163,Elderberry Gels 60 qty,2021,634,39508.22
1158,Prenatal Pro 180 capsules,2021,527,36236.5
1130,Fish Oil,2021,1974,29992.37
1121,Hair/Skin/Nails Ultra 30 capsules,2021,8835,28583.24
1128,Co Q10 60 capsules,2021,1012,20971.605
1112,Fruits and Greens 180 capsules,2021,1041,16942.545
1137,Phosphatidylserine,2021,3311.5,16657.59
1136,Pro DHA Memory 30 capsules,2021,419.5,12526.34
1144,DHEA,2021,1230.5,11968.295
1145,Zinc Tablets 50 mg 60 count,2021,559,11400.79
7777,Digestive Support Bundle,2021,440,10663.975
1143,Stress Management,2021,540,6059.34
1167,Choline,2021,488.5,5721.805
1135,Pro DHA Memory 60 capsules,2021,174,5147.505
1134,Pro DHA Memory 180 capsules,2021,163,4644.765
1157,Zinc Tablets 50 mg 120 count,2021,229,4353.73
1142,Immune Support,2021,409,4079.795
1161,Evening Primrose Oil 2oz,2021,339.5,3738.86
1141,Zinc Glycinate,2021,181.5,3100.74
1999,Shipping,2021,0,3047.73
1131,Brain Boost,2021,968,2856.965
1153,Evening Primrose Oil 4oz,2021,173,1825.135
1152,Amino Acid Complete,2021,3118.5,1299.58
1138,Probiotic 1500,2021,1015,1150.4
1155,Hair/Skin/Nails Ultra 180 capsules,2021,2206.5,872.9
1166,Vitamin Tablet Organizer,2021,1250.5,527.63
,,,,
US Bottom 10 Products Sold in 2021,,,,
,,,,
Product Sku,Product Name,,Units Sold,Sales
1129,Zinc Sinus Nose Spray,2021,357,$361
1174,ProOmega EPA/DHA  180 capsules,2021,23,$304
1173,ProOmega EPA/DHA 60 capsules,2021,18,$257
1162,Liquid Magnesium,2021,693,$250
1148,Glucosamine MSM,2021,12,$247
1175,ProOmega EPA/DHA 30 capsules,2021,6,$46
4444,Co Q10 180 capsules,2021,16,$15
1170,Vitamin B12 30 capsules,2021,22,$12
1156,Magnesium 100mg,2021,2,$12
1172,Magnessium 200mg,2021,2,$8
